Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm)
15,6,2018,18.09,34.69,0,10.2
16,6,2018,17.44,29.76,3.56,5.3
17,6,2018,17.24,28.4,0,6.09
18,6,2018,13.78,32.65,0,8.18
19,6,2018,17.55,34.62,0,8.94
20,6,2018,15.54,28.57,0,5.63
21,6,2018,16.22,33.88,0,7.7
22,6,2018,17.51,37.61,0.76,11.56
23,6,2018,14.18,33.47,0,8.11
24,6,2018,16.9,34.38,0,9.26
25,6,2018,14.25,29.11,0,6.54
26,6,2018,16.63,38.05,0,10.13
27,6,2018,18.7,38.53,0,10.96
28,6,2018,19.82,36.9,0,11.06
29,6,2018,19.11,36.76,7.11,10.64
30,6,2018,17.92,35.57,0,9.64
1,7,2018,15.27,33.13,0,8.77
2,7,2018,16.43,33.47,0,7.69
3,7,2018,13.71,35.54,0,9.24
4,7,2018,17.72,35.95,0,8.82
5,7,2018,18.02,31.09,0,7.04
6,7,2018,16.53,29.05,7.37,4.36
7,7,2018,14.86,30.1,0,5.8
8,7,2018,15.41,31.33,0,6.76
9,7,2018,15.88,31.6,0,6.6
10,7,2018,15.64,32.62,0,7.15
11,7,2018,15.88,32.89,0,7.77
12,7,2018,17.31,30.54,10.67,6.6
13,7,2018,17.44,32.44,0,6.57
14,7,2018,16.93,31.33,0,7.06
15,7,2018,17.61,33.94,0.25,7.81
16,7,2018,18.09,33.5,0,7.25
17,7,2018,18.26,35.3,0,7.71
18,7,2018,17.99,38.59,0,9.19
19,7,2018,20.4,39.04,0,9.55
20,7,2018,21.18,38.39,0,11.17
21,7,2018,18.9,37.41,0,10.19
22,7,2018,19.17,39.07,0,10.14
23,7,2018,20.02,33.57,0,8.64
24,7,2018,18.12,31.63,14.99,6.53
25,7,2018,18.36,34.55,0,7.83
26,7,2018,16.76,30.07,21.84,5.8
27,7,2018,17.51,27.52,11.18,3.92
28,7,2018,16.9,33.2,0,7.28
29,7,2018,19.41,35.95,0,8.17
30,7,2018,15.98,26.2,2.29,5.15
31,7,2018,14.22,27.76,0,5.67
1,8,2018,14.93,33.4,0,8.03
2,8,2018,15.81,32.18,1.02,6.58
3,8,2018,18.36,34.08,0,7.65
4,8,2018,16.87,34.72,0,7.52
5,8,2018,16.63,33.43,0,8.18
6,8,2018,16.09,32.55,0,8.52
7,8,2018,18.12,33.74,0,7.29
8,8,2018,16.26,30.28,0,6.83
9,8,2018,14.76,29.43,0.76,5.26
10,8,2018,16.22,28.84,0.25,4.64
11,8,2018,14.32,26.12,2.79,3.18
12,8,2018,13.37,28.71,0,5.87
13,8,2018,13.23,30.88,0,6.8
14,8,2018,15.68,32.79,0,6.12
15,8,2018,16.43,34.08,26.42,7.25
